name,handedness,height,weight,avg,HR,RHBA,LHBA,RHHR,LHHR
Sal Butera,R,72,190,0.227,8,0.227,0,8,0
Jack Brohamer,L,70,165,0.245,30,0,0.245,0,30
Von Joshua,L,70,170,0.273,30,0,0.273,0,30
Eddie Milner,L,71,173,0.253,42,0,0.253,0,42
Johnny Jeter,R,73,180,0.244,18,0.244,0,18,0
Angel Salazar,R,72,180,0.212,2,0.212,0,2,0
Tony Oliva,L,73,175,0.304,220,0,0.304,0,220
Cito Gaston,R,75,190,0.256,91,0.256,0,91,0
Cookie Rojas,R,70,160,0.263,54,0.263,0,54,0
Rich Morales,R,71,170,0.195,6,0.195,0,6,0
Dave Ford,R,76,190,0,0,0,0,0,0
Dan Ford,R,73,185,0.27,121,0.27,0,121,0
Barry Raziano,B,70,175,0,0,0,0,0,0
Darryl Motley,R,69,196,0.243,44,0.243,0,44,0
Ozzie Virgil,R,73,180,0.243,98,0.243,0,98,0
Johnny Oates,L,71,188,0.25,14,0,0.25,0,14
Pat Underwood,L,72,175,0,0,0,0,0,0
Mike Phillips,L,72,170,0.24,11,0,0.24,0,11
Ron Santo,R,72,190,0.277,342,0.277,0,342,0
Jay Johnstone,L,73,175,0.267,102,0,0.267,0,102
Jim Ray Hart,R,71,185,0.278,170,0.278,0,170,0
Marc Hill,R,75,205,0.223,34,0.223,0,34,0
Joel McKeon,L,72,185,0,0,0,0,0,0
Danny Fife,R,75,175,0,0,0,0,0,0
Chico Salmon,R,70,160,0.249,31,0.249,0,31,0
Joe Niekro,R,73,185,0.156,1,0.156,0,1,0
Andy Etchebarren,R,73,190,0.235,49,0.235,0,49,0
Ken Berry,R,72,175,0.255,58,0.255,0,58,0
Dave Concepcion,R,74,155,0.267,101,0.267,0,101,0
Junior Moore,R,71,185,0.264,7,0.264,0,7,0
Mike Richardt,R,72,170,0.226,4,0.226,0,4,0
Chris Brown,R,72,185,0.269,38,0.269,0,38,0
Al Bumbry,L,68,170,0.281,54,0,0.281,0,54
Al Downing,R,71,175,0.127,2,0.127,0,2,0
Bob Didier,B,72,190,0.229,0,0,0,0,0
Jake Gibbs,L,72,180,0.233,25,0,0.233,0,25
Garry Hancock,L,72,175,0.247,12,0,0.247,0,12
Ed Kranepool,L,75,205,0.261,118,0,0.261,0,118
Rick Rhoden,R,75,195,0.238,9,0.238,0,9,0
Denny McLain,R,73,185,0.133,1,0.133,0,1,0
Chuck Hiller,L,71,170,0.243,20,0,0.243,0,20
Jorge Orta,L,70,170,0.278,130,0,0.278,0,130
Dave Cash,R,71,170,0.283,21,0.283,0,21,0
Bucky Dent,R,69,170,0.247,40,0.247,0,40,0
Andy Beene,R,75,205,0,0,0,0,0,0
Bruce Robbins,L,73,190,0,0,0,0,0,0
Tony Gonzalez,L,69,170,0.286,103,0,0.286,0,103
Leon Hooten,R,71,180,0,0,0,0,0,0
Larry Haney,R,74,195,0.215,12,0.215,0,12,0
Billy Conigliaro,R,72,180,0.256,40,0.256,0,40,0
Gary Roenicke,R,75,205,0.247,121,0.247,0,121,0
