name,handedness,height,weight,avg,HR,RHBA,LHBA,RHHR,LHHR
Clay Dalrymple,L,72,190,0.233,55,0,0.233,0,55
Carlos May,L,71,200,0.274,90,0,0.274,0,90
Reggie Smith,B,72,180,0.287,314,0,0,0,0
Ron Reed,R,78,215,0.158,0,0.158,0,0,0
Fred Howard,R,75,190,0,0,0,0,0,0
Davey Johnson,R,73,170,0.261,136,0.261,0,136,0
Ellis Valentine,R,76,205,0.278,123,0.278,0,123,0
Roy White,B,70,160,0.271,160,0,0,0,0
Mike Brumley,L,70,195,0.229,5,0,0.229,0,5
Al Luplow,L,70,175,0.235,33,0,0.235,0,33
John Hoover,R,74,190,0,0,0,0,0,0
Dick Allen,R,71,187,0.292,351,0.292,0,351,0
Doug Ault,R,75,200,0.236,17,0.236,0,17,0
Mark Wagner,R,72,165,0.243,3,0.243,0,3,0
Mike Walters,R,77,203,0,0,0,0,0,0
Willie Stargell,L,74,188,0.282,475,0,0.282,0,475
Steve Carlton,L,76,210,0.201,13,0,0.201,0,13
Jake Wood,R,73,163,0.25,35,0.25,0,35,0
Del Unser,L,73,180,0.258,87,0,0.258,0,87
Bob Brower,R,71,185,0.242,17,0.242,0,17,0
Ray Culp,R,72,200,0.123,1,0.123,0,1,0
Ivan Murrell,R,74,195,0.236,33,0.236,0,33,0
Lee Mazzilli,B,73,180,0.259,93,0,0,0,0
Garth Iorg,R,71,170,0.258,20,0.258,0,20,0
Alan Ashby,B,74,185,0.245,90,0,0,0,0
Bob Brenly,R,74,210,0.247,91,0.247,0,91,0
Ron Blomberg,L,73,195,0.293,52,0,0.293,0,52
Jim Rooker,R,72,195,0.201,7,0.201,0,7,0
Tim Blackwell,B,71,170,0.228,6,0,0,0,0
Colby Ward,R,74,185,0,0,0,0,0,0
Jerry Morales,R,70,155,0.259,95,0.259,0,95,0
Davey Lopes,R,69,170,0.263,155,0.263,0,155,0
Catfish Hunter,R,72,190,0.226,6,0.226,0,6,0
Mario Soto,R,72,174,0.132,1,0.132,0,1,0
Jimmy Wynn,R,70,160,0.25,291,0.25,0,291,0
Hank Allen,R,72,190,0.241,6,0.241,0,6,0
Jim Fregosi,R,73,190,0.265,151,0.265,0,151,0
Pepe Frias,R,70,159,0.24,1,0.24,0,1,0
Mike Schmidt,R,74,195,0.267,548,0.267,0,548,0
Willie Montanez,L,72,170,0.275,139,0,0.275,0,139
Rey Quinones,R,71,160,0.243,29,0.243,0,29,0
Mike Squires,L,71,185,0.26,6,0,0.26,0,6
Champ Summers,L,74,205,0.255,54,0,0.255,0,54
Chuck Porter,R,75,187,0,0,0,0,0,0
Bert Campaneris,R,70,160,0.259,79,0.259,0,79,0
Bobby Valentine,R,70,189,0.26,12,0.26,0,12,0
Rob Andrews,R,72,185,0.251,3,0.251,0,3,0
Tom Haller,L,76,195,0.257,134,0,0.257,0,134
Tom Dozier,R,74,190,0,0,0,0,0,0
Ed Stroud,L,71,180,0.237,14,0,0.237,0,14
Ron Swoboda,R,74,195,0.242,73,0.242,0,73,0
Harry Spilman,L,73,180,0.237,18,0,0.237,0,18
Bob Barton,R,72,175,0.226,9,0.226,0,9,0
Daryl Sconiers,L,74,185,0.265,15,0,0.265,0,15
Joe Torre,R,74,212,0.297,252,0.297,0,252,0
Al Ferrara,R,73,200,0.259,51,0.259,0,51,0
Rick Steirer,R,76,200,0,0,0,0,0,0
Sixto Lezcano,R,70,165,0.271,148,0.271,0,148,0
Al Lachowicz,R,75,198,0,0,0,0,0,0
Dave Nicholson,R,74,215,0.212,61,0.212,0,61,0
Freddie Patek,R,65,148,0.242,41,0.242,0,41,0
Ken Hubbs,R,74,175,0.247,14,0.247,0,14,0
Pepe Mangual,R,70,157,0.242,16,0.242,0,16,0
Leron Lee,L,72,196,0.25,31,0,0.25,0,31
Tom McCarthy,R,72,180,0,0,0,0,0,0
Steve Ontiveros,B,72,185,0.274,24,0,0,0,0
Willie Davis,L,74,180,0.279,182,0,0.279,0,182
Tom Lawless,R,71,170,0.207,2,0.207,0,2,0
Jerry Moses,R,75,210,0.251,25,0.251,0,25,0
Bobby Bonds,R,73,190,0.268,332,0.268,0,332,0
Dave McNally,R,71,185,0.133,9,0.133,0,9,0
Darrell Brown,B,72,184,0.274,1,0,0,0,0
Roy Foster,R,72,185,0.253,45,0.253,0,45,0
Denis Menke,R,72,185,0.25,101,0.25,0,101,0
Hal Breeden,R,74,200,0.243,21,0.243,0,21,0
Manny Trillo,R,73,150,0.263,61,0.263,0,61,0
Jackie Gutierrez,R,71,175,0.237,4,0.237,0,4,0
Jerry Kenney,L,73,170,0.237,7,0,0.237,0,7
Fred Kendall,R,73,185,0.234,31,0.234,0,31,0
Mike Anderson,R,74,200,0.246,28,0.246,0,28,0
Jim Lewis,R,75,190,0,0,0,0,0,0
Joe Charboneau,R,74,205,0.266,29,0.266,0,29,0
Jimmie Schaffer,R,69,170,0.223,11,0.223,0,11,0
Junior Kennedy,R,71,175,0.248,4,0.248,0,4,0
Wilbur Howard,B,74,170,0.25,6,0,0,0,0
Rod Gilbreath,R,74,180,0.248,14,0.248,0,14,0
Mark Brouhard,R,73,210,0.259,25,0.259,0,25,0
Dan Morogiello,L,73,200,0,0,0,0,0,0
Mike Young,B,74,195,0.247,72,0,0,0,0
Chris Speier,R,73,175,0.246,112,0.246,0,112,0
Gene Michael,B,74,183,0.229,15,0,0,0,0
Vic Harris,B,71,165,0.217,13,0,0,0,0
Mike Fischlin,R,73,165,0.22,3,0.22,0,3,0
Don Money,R,73,170,0.261,176,0.261,0,176,0
Joe Rudi,R,74,200,0.264,179,0.264,0,179,0
Jim Rice,R,74,200,0.298,382,0.298,0,382,0
Shawn Holman,R,74,185,0,0,0,0,0,0
Alan Wirth,R,76,190,0,0,0,0,0,0
Gil Garrido,R,69,150,0.237,1,0.237,0,1,0
Marty Perez,R,71,160,0.246,22,0.246,0,22,0
Tom Matchick,L,73,173,0.215,4,0,0.215,0,4
Jack Perconte,L,70,160,0.27,2,0,0.27,0,2
Ed Kirkpatrick,L,71,195,0.238,85,0,0.238,0,85
Jerry Grote,R,70,185,0.252,39,0.252,0,39,0
Ellie Hendricks,L,73,175,0.22,62,0,0.22,0,62
Jim Beauchamp,R,74,190,0.231,14,0.231,0,14,0
Terry Wilshusen,R,74,210,0,0,0,0,0,0
Tito Fuentes,B,71,175,0.268,45,0,0,0,0
Ron Brand,R,67,167,0.239,3,0.239,0,3,0
Leo Cardenas,R,71,150,0.257,118,0.257,0,118,0
Art Shamsky,L,73,168,0.253,68,0,0.253,0,68
Steve Ellsworth,R,80,220,0,0,0,0,0,0
Ron Cey,R,70,185,0.261,316,0.261,0,316,0
Skip Jutze,R,71,190,0.215,3,0.215,0,3,0
Butch Wynegar,B,73,190,0.255,65,0,0,0,0
Ron LeFlore,R,72,200,0.288,59,0.288,0,59,0
Bill Russell,R,72,175,0.263,46,0.263,0,46,0
Gene Tenace,R,72,190,0.241,201,0.241,0,201,0
Bubba Morton,R,70,175,0.267,14,0.267,0,14,0
Ellie Rodriguez,R,71,185,0.245,16,0.245,0,16,0
Darrel Chaney,B,74,188,0.217,14,0,0,0,0
Dick Nen,L,74,200,0.224,21,0,0.224,0,21
Bryan Kelly,R,74,195,0,0,0,0,0,0
Bill Freehan,R,75,203,0.262,200,0.262,0,200,0
Steve Nicosia,R,70,185,0.248,11,0.248,0,11,0
Ted Savage,R,73,185,0.233,34,0.233,0,34,0
Pete Mackanin,R,74,190,0.226,30,0.226,0,30,0
Rich Dauer,R,72,180,0.257,43,0.257,0,43,0
Mick Kelleher,R,69,176,0.213,0,0.213,0,0,0
Rowland Office,L,72,170,0.259,32,0,0.259,0,32
Rick Leach,L,73,180,0.268,18,0,0.268,0,18
Dwayne Murphy,L,73,185,0.246,166,0,0.246,0,166
Larry Harlow,L,74,185,0.248,12,0,0.248,0,12
Mike Epstein,L,75,230,0.244,130,0,0.244,0,130
Jerry Mumphrey,B,74,185,0.289,70,0,0,0,0
Don Sutton,R,73,185,0.144,0,0.144,0,0,0
Glenn Beckert,R,73,190,0.283,22,0.283,0,22,0
Ron Davis,R,72,175,0.233,10,0.233,0,10,0
Mike Shannon,R,75,195,0.255,68,0.255,0,68,0
Jason Thompson,L,76,200,0.261,208,0,0.261,0,208
Wayne Tolleson,B,69,160,0.241,9,0,0,0,0
John Leister,R,74,200,0,0,0,0,0,0
Don Cooper,R,73,185,0,0,0,0,0,0
Mike Jorgensen,L,72,195,0.243,95,0,0.243,0,95
Ed Romero,R,71,160,0.247,8,0.247,0,8,0
Rick Joseph,R,73,192,0.243,13,0.243,0,13,0
Cecil Cooper,L,74,165,0.298,241,0,0.298,0,241
Bill Almon,R,75,180,0.254,36,0.254,0,36,0
Joe Ferguson,R,74,200,0.24,122,0.24,0,122,0
Jeff Jones,R,75,210,0,0,0,0,0,0
Jerry Terrell,R,71,165,0.253,4,0.253,0,4,0
John Poloni,L,77,210,0,0,0,0,0,0
Dave Revering,L,76,210,0.265,62,0,0.265,0,62
Curt Ford,L,70,150,0.245,7,0,0.245,0,7
Jerry Dybzinski,R,74,180,0.234,3,0.234,0,3,0
Mike Willis,L,74,205,0,0,0,0,0,0
Bob Burda,L,71,174,0.224,13,0,0.224,0,13
Jesse Gonder,L,70,180,0.251,26,0,0.251,0,26
Gary Sutherland,R,72,185,0.243,24,0.243,0,24,0
Bob Coluccio,R,71,183,0.22,26,0.22,0,26,0
Dave Rader,L,71,165,0.257,30,0,0.257,0,30
Ron Gardenhire,R,72,175,0.232,4,0.232,0,4,0
Bill Sharp,L,70,178,0.255,9,0,0.255,0,9
Alan Bannister,R,71,170,0.27,19,0.27,0,19,0
Bob Watson,R,72,201,0.295,184,0.295,0,184,0
Ken Harrelson,R,74,190,0.239,131,0.239,0,131,0
Bobby Wine,R,73,187,0.215,30,0.215,0,30,0
Stefan Wever,R,80,245,0,0,0,0,0,0
John Kennedy,R,72,185,0.225,32,0.225,0,32,0
Chico Ruiz,B,72,169,0.24,2,0,0,0,0
Dave Johnson,R,73,183,0,0,0,0,0,0
Gail Hopkins,L,70,198,0.266,25,0,0.266,0,25
Doug Frobel,L,76,196,0.201,20,0,0.201,0,20
Luis Melendez,R,72,165,0.248,9,0.248,0,9,0
Jerry Augustine,L,72,183,0,0,0,0,0,0
Bill Plummer,R,73,190,0.188,14,0.188,0,14,0
Buck Rodgers,B,74,190,0.232,31,0,0,0,0
Phil Niekro,R,73,180,0.169,7,0.169,0,7,0
Jeff Holly,L,77,210,0,0,0,0,0,0
Tom Poquette,L,70,175,0.268,10,0,0.268,0,10
Eric Hetzel,R,75,175,0,0,0,0,0,0
Brian Asselstine,L,73,175,0.254,12,0,0.254,0,12
Rick Miller,L,72,175,0.269,28,0,0.269,0,28
Ed Charles,R,70,170,0.263,86,0.263,0,86,0
Luis Gomez,R,69,150,0.21,0,0.21,0,0,0
Dave Lemanczyk,R,76,235,0,0,0,0,0,0
Al Jones,R,76,210,0,0,0,0,0,0
Floyd Rayford,R,70,190,0.244,38,0.244,0,38,0
Sam Hinds,R,78,215,0,0,0,0,0,0
Tony Conigliaro,R,75,185,0.264,166,0.264,0,166,0
Clay Christiansen,R,77,205,0,0,0,0,0,0
Jim Barr,R,75,205,0.162,1,0.162,0,1,0
Jerry Remy,L,69,165,0.275,7,0,0.275,0,7
Larry Rothschild,L,74,180,0,0,0,0,0,0
Frank Duffy,R,73,180,0.232,26,0.232,0,26,0
Gary Lance,B,75,195,0,0,0,0,0,0
Tom O'Malley,L,72,180,0.256,13,0,0.256,0,13
Phil Garner,R,70,175,0.26,109,0.26,0,109,0
Larry Pashnick,R,75,205,0,0,0,0,0,0
Todd Fischer,R,70,170,0,0,0,0,0,0
